name,country,lat,lon,population,capital
'Ajlun,JO,32.33326,35.75279,125557,0
'Akra,IQ,36.73359,43.88038,105370,0
'Ibri,OM,23.22573,56.51572,163473,0
's-Hertogenbosch,NL,51.69917,5.30417,160783,0
6th of October City,EG,29.81667,31.05,368650,0
A Coruna,ES,43.37135,-8.396,250438,0
Aachen,DE,50.77664,6.08342,265208,0
Aalborg,DK,57.048,9.9187,142937,0
Aba,NG,5.10658,7.36667,1160000,0
Abadan,IR,30.3392,48.3043,231476,0
Abaetetuba,BR,-1.71806,-48.8825,158188,0
Abakaliki,NG,6.32485,8.11368,134102,0
Abakan,RU,53.7154,91.42593,184168,0
Abbotsford,CA,49.05798,-122.25257,141397,0
Abbottabad,PK,34.1463,73.21168,275890,0
Abeche,TD,13.82916,20.8324,139983,0
Abengourou,CI,6.72972,-3.49639,130810,0
Abeokuta,NG,7.15571,3.34509,735000,0
Aberdeen,GB,57.14369,-2.09814,198590,0
Aberdeen,HK,22.24802,114.15289,157400,0
Abha,SA,18.21639,42.50528,210886,0
Abidjan,CI,5.35444,-4.00167,6321017,0
Abiko,JP,35.86667,140.01667,131771,0
Abilene,US,32.44874,-99.73314,125182,0
Abnub,EG,27.26881,31.15232,111785,0
Abobo,CI,5.41613,-4.0159,1340083,0
Abohar,IN,30.14453,74.19552,145302,0
Abomey,BJ,7.18286,1.99119,117824,0
Abomey-Calavi,BJ,6.44852,2.35566,385755,0
Abreu e Lima,BR,-7.91167,-34.90278,103945,0
Abu Dhabi,AE,24.45118,54.39696,1807000,1
Abu Ghurayb,IQ,33.30563,44.18477,900000,0
Abu Kabir,EG,30.72508,31.67148,154466,0
Abu Tij,EG,27.04514,31.31845,105418,0
Abu al-Kahsib,IQ,30.4431,47.87802,357771,0
Abuja,NG,9.05785,7.49508,2690000,1
Acailandia,BR,-4.94667,-47.50472,106550,0
Acapulco de Juarez,MX,16.84942,-99.90891,658609,0
Acarigua,VE,9.55451,-69.19564,188278,0
Accra,GH,5.55602,-0.1969,1963264,1
Achalpur,IN,21.25665,77.51006,112311,0
Acheng,CN,45.54558,126.95191,144665,0
Achinsk,RU,56.26792,90.50145,117634,0
Acilia-Castel Fusano-Ostia Antica,IT,41.76337,12.33078,129362,0
Ad-Damazin,SD,11.7891,34.3592,186051,0
Ad-Damir,SD,17.59898,33.97205,103941,0
Adachi,JP,35.76318,139.80761,695043,0
Adamstown,PN,-25.06597,-130.10147,46,1
Adana,TR,36.98615,35.32531,1816750,0
Adapazari,TR,40.78056,30.40333,286787,0
Addis Ababa,ET,9.02497,38.74689,3860000,1
Adelaide,AU,-34.92866,138.59863,1469163,0
Aden,YE,12.77957,45.03852,1079670,0
Adigrat,ET,14.277,39.462,121800,0
Adilabad,IN,19.67203,78.5359,118526,0
Adiwerna,ID,-6.9375,109.1325,134188,0
Adiyaman,TR,37.76441,38.27629,290883,0
Admiralteisky,RU,59.923,30.3,157897,0
Ado-Ekiti,NG,7.62329,5.22087,435000,0
Adoni,IN,15.62788,77.27495,184625,0
Afyonkarahisar,TR,38.75667,30.54333,251799,0
Agadez,NE,16.97333,7.99111,149549,0
Agadir,MA,30.42018,-9.59815,698310,0
Agartala,IN,23.83605,91.27939,400004,0
Agege,NG,6.61563,3.33337,683600,0
Ageo,JP,35.97145,139.61382,226940,0
Agra,IN,27.18333,78.01667,1430055,0
Agri,TR,39.71467,43.04015,124483,0
Aguas Claras,BR,-15.83969,-48.02675,128486,0
Aguas Lindas de Goias,BR,-15.76194,-48.28167,225693,0
Aguascalientes,MX,21.88262,-102.2843,722250,0
Ahar,IR,38.4774,47.0699,100641,0
Ahilyanagar,IN,19.09457,74.73843,367140,0
Ahmadpur East,PK,29.14269,71.25771,196718,0
Ahmedabad,IN,23.02579,72.58727,6357693,0
Ahuntsic-Cartierville,CA,45.56667,-73.66667,135336,0
Ahvaz,IR,31.31901,48.6842,841145,0
Aihara,JP,35.6,139.31667,725493,0
Aihui,CN,49.97946,127.48119,192764,0
Ain Beida,DZ,35.79639,7.39278,116064,0
Airoli,IN,19.15096,72.99625,100000,0
Ait Melloul,MA,30.34164,-9.50356,187652,0
Aix-en-Provence,FR,43.5283,5.44973,146821,0
Aizawl,IN,23.72894,92.71791,293416,0
Aizu-Wakamatsu,JP,37.49142,139.94546,118159,0
Ajapnyak,AM,40.19917,44.47056,122800,0
Ajax,CA,43.85012,-79.03288,119677,0
Ajdabiya,LY,30.75545,20.22625,131773,0
Ajegunle,NG,6.45197,3.33115,550000,0
Ajman,AE,25.40177,55.47878,490035,0
Ajmer,IN,26.4521,74.63867,542321,0
Akademicheskoe,RU,60.01375,30.39471,103304,0
Akashi,JP,34.65524,135.00687,303601,0
Akhmim,EG,26.5622,31.74566,151430,0
Akishima,JP,35.72085,139.37999,113949,0
Akita,JP,39.71667,140.11667,307672,0
Akola,IN,20.70957,76.9981,428857,0
Akowonjo,NG,6.61012,3.30968,308900,0
Akron,US,41.08144,-81.51901,197542,0
Aksaray,TR,38.37255,34.02537,327575,0
Aktau,KZ,43.66105,51.17392,147443,0
Aktobe,KZ,50.27969,57.20718,500757,0
Akure,NG,7.25256,5.19312,730000,0
Al 'Amarah,IQ,31.83561,47.14483,323302,0
Al 'Ashir min Ramadan,EG,30.29636,31.74633,246148,0
Al Ahmadi,KW,29.07694,48.08389,637411,0
Al Ain City,AE,24.19167,55.76056,846747,0
Al Ajaylat,LY,32.75718,12.37633,130546,0
Al Bab,SY,36.37051,37.5157,130745,0
Al Basrah al Qadimah,IQ,30.50316,47.81507,2015483,0
Al Bayda',LY,32.76272,21.75506,129439,0
Al Diwaniyah,IQ,31.99289,44.92552,318801,0
Al Fallujah,IQ,33.34913,43.78599,190159,0
Al Fashn,EG,28.82306,30.89903,112999,0
Al Faw,IQ,29.97421,48.47309,104569,0
Al Fayyum,EG,29.30995,30.8418,519047,0
Al Fqih Ben Calah,MA,32.50213,-6.68771,111402,0
Al Hasakah,SY,36.50237,40.74772,422445,0
Al Hawamidiyah,EG,29.9,31.25,155055,0
Al Hillah,IQ,32.46367,44.41963,455700,0
Al Hindiyah,IQ,32.54193,44.22469,139578,0
Al Hoceima,MA,35.25165,-3.93723,395644,0
Al Hudaydah,YE,14.79781,42.95452,734699,0
Al Hufuf,SA,25.36467,49.58764,293179,0
Al Jadid,LY,27.05,14.4,126386,0
Al Jubayl,SA,27.0174,49.62251,237274,0
Al Jumayl,LY,32.85286,12.0612,102000,0
Al Kharj,SA,24.15541,47.33457,425300,0
Al Khums,LY,32.64861,14.26191,201943,0
Al Khusus,EG,30.15293,31.31501,488904,0
Al Madinah,IQ,30.96324,47.26998,255000,0
Al Mahallah al Kubra,EG,30.97063,31.1669,592573,0
Al Mahmudiyah,IQ,33.06221,44.36564,350000,0
Al Majaz,AE,25.32354,55.38774,116503,0
Al Manaqil,SD,14.2459,32.9891,128297,0
Al Mansurah,EG,31.03637,31.38069,621953,0
Al Manzalah,EG,31.15823,31.936,127394,0
Al Matariyah,EG,31.18287,32.03108,162045,0
Al Mawsil al Jadidah,IQ,36.33271,43.10555,2065597,0
Al Miqdadiyah,IQ,33.97861,44.93694,155968,0
Al Mubarraz,SA,25.40768,49.59028,290802,0
Al Muharraq,BH,26.25722,50.61194,176583,0
Al Qadarif,SD,14.03493,35.38344,363945,0
Al Qahirah al Jadidah,EG,30.04214,31.44446,313139,0
Al Qamishli,SY,37.05215,41.23142,184231,0
Al Qurnah,IQ,31.01547,47.43362,134174,0
Al'met'yevsk,RU,54.90395,52.31793,140437,0
Al-'Ubur,EG,30.22886,31.48149,138987,0
Al-Junaynah,SD,13.45262,22.44725,162981,0
Al-Kut,IQ,32.5128,45.81817,315162,0
Al-Musayab,IQ,32.77872,44.29005,101873,0
Ala'er,CN,40.54184,81.26566,126259,0
Alagoinhas,BR,-12.13556,-38.41917,122688,0
Alamar,CU,23.15794,-82.27837,100000,0
Alandur,IN,13.0025,80.20611,164430,0
Alanya,TR,36.54375,31.99982,364180,0
Alappuzha,IN,9.49004,76.3264,240991,0
Alasia,NG,6.47489,3.16914,100000,0
